"","Ancestor","Clan"
"202","PreLBCA","PF08867"
"203","PreLBCA","PF08906"
"204","PreLBCA","PF09365"
"205","PreLBCA","CL0578"
"206","PreLBCA","PF09509"
"207","PreLBCA","PF09527"
"208","PreLBCA","PF09678"
"209","PreLBCA","PF09720"
"210","PreLBCA","PF09864"
"211","PreLBCA","PF09907"
"212","PreLBCA","PF09925"
"213","PreLBCA","PF09951"
"214","PreLBCA","PF09956"
"215","PreLBCA","PF09992"
"216","PreLBCA","PF10077"
"217","PreLBCA","PF10099"
"218","PreLBCA","PF10442"
"219","PreLBCA","PF10588"
"220","PreLBCA","PF10592"
"221","PreLBCA","PF10593"
"222","PreLBCA","PF11042"
"223","PreLBCA","PF11127"
"224","PreLBCA","PF11185"
"225","PreLBCA","PF11188"
"226","PreLBCA","PF11199"
"227","PreLBCA","CL0650"
"228","PreLBCA","PF11617"
"229","PreLBCA","PF11750"
"230","PreLBCA","PF11845"
"231","PreLBCA","PF11863"
"232","PreLBCA","PF11899"
"233","PreLBCA","PF11954"
"234","PreLBCA","PF12158"
"235","PreLBCA","PF12439"
"236","PreLBCA","PF12476"
"237","PreLBCA","PF12535"
"238","PreLBCA","PF12996"
"239","PreLBCA","PF13007"
"240","PreLBCA","PF13282"
"241","PreLBCA","PF13376"
"242","PreLBCA","PF13396"
"243","PreLBCA","PF13438"
"244","PreLBCA","PF13475"
"245","PreLBCA","PF13644"
"246","PreLBCA","PF13682"
"247","PreLBCA","PF13700"
"248","PreLBCA","PF13739"
"249","PreLBCA","PF13787"
"250","PreLBCA","PF13807"
"251","PreLBCA","PF14014"
"252","PreLBCA","PF14022"
"253","PreLBCA","PF14088"
"254","PreLBCA","PF14103"
"255","PreLBCA","PF14106"
"256","PreLBCA","PF14206"
"257","PreLBCA","CL0673"
"258","PreLBCA","PF14319"
"259","PreLBCA","PF14393"
"260","PreLBCA","PF14903"
"261","PreLBCA","PF16116"
"262","PreLBCA","PF16483"
"263","PreLBCA","PF16861"
"264","PreLBCA","PF17101"
"265","PreLBCA","PF17253"
"266","PreLBCA","PF17284"
"267","PreLBCA","PF17660"
"268","PreLBCA","CL0682"
"269","PreLBCA","PF17944"
"270","PreLBCA","PF18145"
"271","PreLBCA","PF18146"
"272","PreLBCA","PF18928"
"273","PreLBCA","PF19269"
"274","PreLBCA","PF19459"
"275","PreLBCA","PF20106"
"276","PreLBCA","PF20118"
"277","PreLBCA","PF20148"
"278","PreLBCA","PF20155"
"279","PreLBCA","PF20208"
"280","PreLBCA","PF20247"
"281","PreLBCA","PF20461"
"282","PreLBCA","PF20466"
"283","modern Archaea","PF00189"
"284","modern Archaea","PF01191"
"285","modern Archaea","PF01283"
"286","modern Archaea","PF01629"
"287","modern Archaea","PF01798"
"288","modern Archaea","PF01889"
"289","modern Archaea","PF01993"
"290","modern Archaea","PF01995"
"291","modern Archaea","CL0618"
"292","modern Archaea","PF02241"
"293","modern Archaea","PF02249"
"294","modern Archaea","PF02289"
"295","modern Archaea","PF02505"
"296","modern Archaea","PF02676"
"297","modern Archaea","PF02889"
"298","modern Archaea","PF03684"
"299","modern Archaea","PF04009"
"300","modern Archaea","PF04038"
"301","modern Archaea","PF04206"
"302","modern Archaea","PF04207"
"303","modern Archaea","PF04210"
"304","modern Archaea","PF04211"
"305","modern Archaea","PF04254"
"306","modern Archaea","PF04283"
"307","modern Archaea","PF04322"
"308","modern Archaea","PF04415"
"309","modern Archaea","PF04475"
"310","modern Archaea","PF04609"
"311","modern Archaea","PF04659"
"312","modern Archaea","PF04998"
"313","modern Archaea","PF05317"
"314","modern Archaea","PF05377"
"315","modern Archaea","PF05440"
"316","modern Archaea","PF05727"
"317","modern Archaea","PF05854"
"318","modern Archaea","PF06157"
"319","modern Archaea","PF06510"
"320","modern Archaea","PF06675"
"321","modern Archaea","PF06777"
"322","modern Archaea","PF06819"
"323","modern Archaea","PF06847"
"324","modern Archaea","PF06939"
"325","modern Archaea","PF07185"
"326","modern Archaea","PF07431"
"327","modern Archaea","PF07747"
"328","modern Archaea","PF07752"
"329","modern Archaea","PF07775"
"330","modern Archaea","PF07790"
"331","modern Archaea","PF07895"
"332","modern Archaea","PF07935"
"333","modern Archaea","PF08004"
"334","modern Archaea","PF08350"
"335","modern Archaea","PF08617"
"336","modern Archaea","PF08735"
"337","modern Archaea","PF08827"
"338","modern Archaea","PF08979"
"339","modern Archaea","PF09001"
"340","modern Archaea","PF09082"
"341","modern Archaea","PF09171"
"342","modern Archaea","PF09341"
"343","modern Archaea","PF09373"
"344","modern Archaea","PF09472"
"345","modern Archaea","PF09505"
"346","modern Archaea","PF09840"
"347","modern Archaea","PF09846"
"348","modern Archaea","PF09870"
"349","modern Archaea","PF09871"
"350","modern Archaea","PF09872"
"351","modern Archaea","PF09874"
"352","modern Archaea","PF09875"
"353","modern Archaea","PF09882"
"354","modern Archaea","PF09885"
"355","modern Archaea","PF09886"
"356","modern Archaea","PF09887"
"357","modern Archaea","PF09888"
"358","modern Archaea","PF09890"
"359","modern Archaea","PF09894"
"360","modern Archaea","PF09897"
"361","modern Archaea","PF09920"
"362","modern Archaea","PF09921"
"363","modern Archaea","PF09930"
"364","modern Archaea","PF09943"
"365","modern Archaea","PF09958"
"366","modern Archaea","PF09959"
"367","modern Archaea","PF09971"
"368","modern Archaea","PF09973"
"369","modern Archaea","PF09974"
"370","modern Archaea","PF09987"
"371","modern Archaea","PF10051"
"372","modern Archaea","PF10621"
"373","modern Archaea","PF10869"
"374","modern Archaea","PF10967"
"375","modern Archaea","PF11520"
"376","modern Archaea","PF14210"
"377","modern Archaea","PF14811"
"378","modern Archaea","PF14894"
"379","modern Archaea","PF15915"
"380","modern Archaea","PF16239"
"381","modern Archaea","PF16926"
"382","modern Archaea","PF17299"
"383","modern Archaea","PF17647"
"384","modern Archaea","PF18006"
"385","modern Archaea","PF18079"
"386","modern Archaea","PF18204"
"387","modern Archaea","PF18462"
"388","modern Archaea","PF18489"
"389","modern Archaea","PF18533"
"390","modern Archaea","PF18545"
"391","modern Archaea","PF18677"
"392","modern Archaea","PF19090"
"393","modern Archaea","PF19091"
"394","modern Archaea","PF19093"
"395","modern Archaea","CL0706"
"396","modern Archaea","PF19095"
"397","modern Archaea","PF19096"
"398","modern Archaea","PF19098"
"399","modern Archaea","PF19099"
"400","modern Archaea","PF19100"
"401","modern Archaea","PF19101"
"402","modern Archaea","PF19102"
"403","modern Archaea","PF19103"
"404","modern Archaea","PF19104"
"405","modern Archaea","PF19106"
"406","modern Archaea","PF19107"
"407","modern Archaea","PF19108"
"408","modern Archaea","PF19109"
"409","modern Archaea","PF19110"
"410","modern Archaea","PF19113"
"411","modern Archaea","PF19115"
"412","modern Archaea","PF19118"
"413","modern Archaea","PF19119"
"414","modern Archaea","PF19120"
"415","modern Archaea","PF19122"
"416","modern Archaea","PF19123"
"417","modern Archaea","PF19125"
"418","modern Archaea","PF19126"
"419","modern Archaea","PF19128"
"420","modern Archaea","PF19129"
"421","modern Archaea","PF19130"
"422","modern Archaea","PF19131"
"423","modern Archaea","PF19132"
"424","modern Archaea","PF19133"
"425","modern Archaea","PF19134"
"426","modern Archaea","PF19137"
"427","modern Archaea","PF19138"
"428","modern Archaea","PF19139"
"429","modern Archaea","PF19145"
"430","modern Archaea","PF19146"
"431","modern Archaea","PF19148"
"432","modern Archaea","PF19294"
"433","modern Archaea","PF19436"
"434","modern Archaea","PF19646"
"435","modern Archaea","PF19769"
"436","modern Archaea","PF19792"
"437","modern Archaea","PF19887"
"438","modern Archaea","PF20127"
"439","modern Archaea","PF20364"
"440","modern Archaea","PF20389"
"441","modern Archaea","PF20509"
"442","modern Archaea","PF20542"
"443","modern Archaea","PF20576"
"444","modern Bacteria","CL0168"
"445","modern Bacteria","PF00223"
"446","modern Bacteria","PF00269"
"447","modern Bacteria","PF00284"
"448","modern Bacteria","PF00306"
"449","modern Bacteria","PF00334"
"450","modern Bacteria","CL0204"
"451","modern Bacteria","PF00421"
"452","modern Bacteria","PF00427"
"453","modern Bacteria","PF00504"
"454","modern Bacteria","PF00720"
"455","modern Bacteria","PF00737"
"456","modern Bacteria","PF00816"
"457","modern Bacteria","CL0352"
"458","modern Bacteria","PF00839"
"459","modern Bacteria","CL0632"
"460","modern Bacteria","PF01241"
"461","modern Bacteria","PF01295"
